"","ukr","en","NOTES – use \n for newline","max length"
"damage_hunger","Голод","Hunger","",""
"mat_porridge","Ситна каша","Hearty Porridge","",""
"log_greed_curse_away_short","Прокляття поки що розсіюється...","The curse dissipates for now...","",""
"logdesc_greed_curse_away_short","...але воно повернеться!","...but it will be back!","",""
"animal_parallel_alchemist","Alkemistin Varjo","Alkemistin Varjo","Transliterate",""
"animal_parallel_tentacles","Kolmisilmän Kätyri","Kolmisilmän Kätyri","Transliterate",""
"animal_hpcrystal","Elvytyskristalli","Elvytyskristalli","Transliterate",""
"status_rainbow_farts","Веселковий пук","Rainbow farts","",""
"statusdesc_rainbow_farts","Розплющ свої очі, я бачу\nТвої очі розплющені\nНе маскуйся переді мною\nВийди у відкритий світ\n","Open your eyes, I see\nYour eyes are open\nWear no disguise for me\nCome into the open\n","Transliterate",""
"mat_rainbow","Веселка","Rainbow","",""
"mat_rainbow_gas","Гази єдинорога","Unicorn farts","",""
"action_rainbow_trail","Веселковий слід","Rainbow trail","",""
"actiondesc_rainbow_trail","Дає снаряду веселковий слід","Gives a projectile a trail of rainbow","",""
"item_gold_orb","Блискуча куля","Shiny orb","",""
"itemdesc_gold_orb","Злегка дзижчить. Цікаво, що буде, якщо його копнути...","It hums slightly. What happens if you kick it, you wonder...","",""
"item_stonestone","Tannerkivi","Tannerkivi","Transliterate",""
"itemdesc_stonestone","Виглядає так, ніби він може витримати випробування еонами.","It looks like it could stand the test of aeons.","",""
"log_dark_moon_altar_extra","Єретик!","Heretic!","",""
"logdesc_dark_moon_altar_extra","Як смієш ти це робити!","How dare you do this!","",""
"log_dark_moon_altar","«З моєї крові...»","”From my blood...”","",""
"logdesc_dark_moon_altar","з моєї крові... з моєї крові... з моєї крові... з моєї крові... з моєї крові...","from my blood... from my blood... from my blood... from my blood...","",""
"mat_steelrusted","Іржава сталь","rusted steel","",""
"stat_streaks","Серія перемог:","Streaks:","see e.g. stat_depth. This is stat that keeps track of how many times in a row player has beaten the game. Streaks is the common english gaming lingo phrase ",""
"streamingevent_areadamage_player","Дружня контактна шкода","Friendly Contact Damage","",""
"streamingeventdesc_areadamage_player","На деякий час ви отримуєте поле, що завдає шкоди ворогам поблизу.","You gain a field that deals damage to nearby enemies for a time.","",""
"streamingevent_areadamage_enemy","Ворожа контактна шкода","Enemy Contact Damage","",""
"streamingeventdesc_areadamage_enemy","Вороги поблизу вас отримують поле, що завдає вам шкоди, якщо ви надто близько.","Enemies near you gain fields that deal damage to you if you get close.","",""
"perk_worm_smaller_holes","Жах хробаків","Feared by Worms","",""
"perkdesc_worm_smaller_holes","Хробаки втікають від вас. Хробаки та lukki більше не руйнують місцевість під час риття.","Worms run away from you, and worm and lukki enemies no longer destroy terrain while burrowing.","",""
"animal_necrobot","Tuonelankone","Tuonelankone","Transliterate",""
"animal_necrobot_super","Marraskone","Marraskone","Transliterate",""
"animal_minipit","Pienkätyri","Pienkätyri","Transliterate",""
"actiondesc_heal_bullet","Магічний снаряд з цілющими властивостями","A magical bolt with rejuvenative powers","",""
"perkdesc_no_more_shuffle","Більшість паличок будуть без тасування. Паличкам у вашому інвентарі також буде прибрано тасування.","Most of the wands will be non shuffling. The wands you carry with you turn into non-shufflers too.","updated the description",""
"progress_killed_by","Вбив вас: $0","Killed by: $0","for progress menu - shows how many times player has been killed by the enemy",""
"animal_scavenger_glue","Liimahiisi","Liimahiisi","Transliterate",""
"mat_glue","Клей","Glue","",""
"item_sunseed","Насіння соняшнику","Auringonsiemen","Transliterate",""
"itemdesc_sunseed","Воно світиться, сповнене обіцянок.","It glows, full of promise.","",""
"animal_boss_ghost","Unohdettu","Unohdettu","Transliterate",""
"animal_boss_ghost_polyp","Häive","Häive","Transliterate",""
"action_remove_bounce","Прибирання відскоку","Remove Bounce","",""
"actiondesc_remove_bounce","Снаряд, що зазвичай має відскок, втрачає його","A normally bouncy projectile stops doing so","",""
"biome_ghost_secret","Забутої печери","Forgotten cave","",""
"hint_endingmcguffin_enter_newgameplus","Натисніть $0, щоб почати Нову гру$1","Press $0 to enter New Game$1","New Game$1 -> New Game+ or ++ or +++...",""
"biome_winter_caves","Сніжної безодні","Snowy Chasm","",""
"item_mcguffin_33","Амулет Єндора","Amulet of Yendor","Reference to Nethack or Rogue",""
"itemdesc_mcguffin_33","Кажуть, що він володіє силою, яку прості смертні навряд чи можуть осягнути, не кажучи вже про те, щоб використати","It is said to possess powers which mere mortals can scarcely comprehend, let alone utilize","",""
