,en,ru,pt-br,es-es,de,fr-fr,it,pl,zh-cn,jp,ko,,NOTES – use \n for newline,max length,,,,,,,,,,
actiondesc_laser_emitter_thrower,A projectile fires beams of light in random directions,"Снаряд, выпускающий лучи света в случайные стороны",O projétil lança raios de luz em direções aleatórias,Un proyectil dispara un rayo de luz en direcciones aleatorias,Ein Projektil feuert Lichtstrahlen in zufällige Richtungen ab,Un projectile émet des rayons lasers dans toutes les directions,Un proiettile spara fasci di luce in direzioni casuali,Pocisk wystrzeliwuje wiązkę światła w losowych kierunkach,向随机方向投射光束的一个投射物,放射物がランダムな方向にビームを発射します,발사체가 무작위 방향으로 빛을 발사합니다.,,,,,,,,,,,,,
action_laser_cross,Plasma beam X,Крестовой лазерный луч,Raio laser X,Rayo láser X,Laserstrahl X,Rayon laser X,Raggio laser X,Laserowe X,激光束 X,レーザービームX,레이저빔 X,,,,,,,,,,,,,
actiondesc_laser_cross,Plasma beams fly in an X-shaped pattern,Лазерные лучи выпускаются по крестовой траектории,Atira raios laser em forma de X,Los rayos láseres vuelan en forma de X,Laserstrahlen fliegen in einem X-förmigen Muster,Les rayons lasers se déplacent en X,Raggi laser che viaggiano a forma di X,Lecące wiązki laserowe tworzą kształt „X”,以 X 形飞行的激光束,レーザービームがXの形に発射されます,레이저빔이 X 형태의 패턴을 그리며 날아갑니다.,,,,,,,,,,,,,
perk_personal_laser,Personal Plasma Beam,Личный лазерный луч,Raio laser pessoal,Rayo láser personal,Persönlicher Laserstrahl,Rayon laser personnel,Raggio laser personale,Osobista wiązka laserowa,专属激光束,パーソナルなレーザービーム,개인 레이저빔,,,,,,,,,,,,,
perkdesc_personal_laser,"You constantly fire a devastating plasma beam, but you fire spells much slower","Из вас постоянно бьет лазерный луч, но остальные заклинания вы пускаете намного медленнее","Você atira constantemente um raio laser devastador, mas os disparos são mais esparsos","Disparas constantemente un rayo láser devastador, pero tus hechizos de fuego son mucho más lentos","Du feuerst ständig einen verheerenden Laserstrahl ab, aber du feuerst Zauber viel langsamer ab","Vous émettez un rayon laser destructeur en continu, mais vos lancers de sort sont ralentis","Spari continuamente un devastante raggio laser, ma lanci incantesimi molto più lentamente","Stale strzelasz niszczycielską wiązką laserowa, ale twoje zaklęcia ogniowe są dużo wolniejsze",你持续发射摧枯拉朽的激光束，但发射法术要慢上许多,常に破壊力のあるレーザービームを発射しますが、呪文の発射速度は減速します,강력한 레이저빔을 지속적으로 발사하지만 주문 속도는 느려집니다.,,,,,,,,,,,,,
mat_wizardstone,Odd brickwork,Неровная кладка,Alvenaria estranha,Ladrillo extraño,Seltsames Mauerwerk,Briquetage étrange,Strana costruzione in mattoni,Dziwny mur,奇特的砖块,不規則なレンガ,이상한 벽돌,,,,,,,,,,,,,
mat_drape,Drapes,Шторы,Cortina,Cortinas,Vorhänge,Tentures,Tendaggi,Zasłony,窗帘,カーテン,휘장,,,,,,,,,,,,,
mat_darkstone,Dark rock,Темный камень,Rocha sombria,Roca oscura,Dunkler Fels,Pierre sombre,Roccia scura,Ciemna skała,黑暗岩石,闇の岩,검은 바위,,,,,,,,,,,,,
perk_moon_radar,Moon Radar,Лунный радар,Radar lunar,Radar lunar,Mondradar,Radar lunaire,Radar lunare,Radar księżycowy,月之雷达,月のレーダー,달 레이더,,,,,,,,,,,,,
perkdesc_moon_radar,Points you towards the moon...?,Указывает путь на Луну...?,Aponta você para lua...?,¿Te marca la dirección de la Luna...?,Zielt dich zum Mond …?,Vous oriente vers la lune... ?,Punta verso la luna...?,Czyżby wskazywał kierunek księżyca?,为你指出月亮的方向...？,あなたを月に向けて…？,달 쪽을 향합니다...?,,,,,,,,,,,,,
logdesc_greed_curse_away2,The curse has gone away.,Проклятье перестало действовать.,A maldição desapareceu.,La maldición ha desaparecido.,Der Fluch ist verschwunden.,La malédiction a disparu,La maledizione se n'è andata.,Klątwa znikła.,诅咒已经消退了。,呪いが消えます。,저주가 사라졌습니다.,,,,,,,,,,,,,
log_greed_curse_crystal2,The crystal breaks!,Кристалл раскалывается!,O cristal se quebrou!,¡El cristal se rompe!,Der Kristall zerbricht!,Le cristal s'est brisé !,Il cristallo si infrange!,Kryształ pęka!,晶体碎裂了！,クリスタルが割れます！,수정이 부서집니다!,,,,,,,,,,,,,
logdesc_greed_curse_crystal2,The curse is active once again!,Проклятье снова действует!,A maldição está ativa de novo!,¡La maldición vuelve a estar activa!,Der Fluch ist wieder aktiv!,La malédiction est à nouveau active !,La maledizione è attiva ancora una volta!,Klątwa znów jest aktywna!,诅咒再度发动了！,呪いが再び有効になります！,저주가 다시 활성화됩니다!,,,,,,,,,,,,,
menu_mods_settings_short,Mod settings,Настро.. мод...,Config.. de mod,Ajus.. de modi..,Mod-Einste...,Param.. du mod,Imposta.. mod,Ustaw... moda,模组设置,MOD設定,모드 설정,,,,,,,,,,,,,
NEWTEXTSINCE20201125,,,,,,,,,,,,,,,,,,,,,,,,
animal_gate_monster_a,Veska,Веска,Veska,Veska,Veska,Veska,Veska,Veska,维斯卡,ヴェスカ,베스카,,Transliterate,,,,,,,,,,,
animal_gate_monster_b,Molari,Молари,Molari,Molari,Molari,Molari,Molari,Molari,莫拉里,モラリ,몰라리,,Transliterate,,,,,,,,,,,
animal_gate_monster_c,Mokke,Мокке,Mokke,Mokke,Mokke,Mokke,Mokke,Mokke,莫克,モッケ,모케,,Transliterate,,,,,,,,,,,
animal_gate_monster_d,Seula,Сеула,Seula,Seula,Seula,Seula,Seula,Seula,瑟乌拉,スーラ,세울라,,Transliterate,,,,,,,,,,,
perkdesc_revenge_bullet,"You return fire when hit by projectiles, and you gain 20% resistance against explosions and projectiles.",При попадании снарядов вы открываете огонь и получаете 20% сопротивления взрывам и снарядам.,Você revida os projéteis que atingem você e ganha 20% de resistência contra explosões e projéteis.,"Devuelves el disparo cuando te golpea un proyectil, y ganas 20 % de resistencia contra explosiones y proyectiles.","Du schießt zurück, wenn du von Projektilen getroffen wirst und erhältst 20 % Widerstand gegen Explosionen und Projektile.","Vous attaquez en retour lorsque des projectiles vous touchent, et vous gagnez 20 % de résistance contre les explosions et les projectiles.","Se i proiettili ti colpiscono rispondi al fuoco, e ottieni il 20% di resistenza contro esplosioni e proiettili.","Gdy trafi cię pocisk, odpowiadasz ogniem i zyskujesz 20% odporności na pociski i wybuchy.",被投射物击中时会还以颜色，同时获得针对爆炸和投射物的 20% 耐性,放射物が当たると炎を返し、爆発と放射物に対して20%の耐性を獲得する。,발사체에 피격 당하면 반격하며 폭발 및 발사체에 대해 20% 저항을 획득합니다.,,,,,,,,,,,,,
action_if_enemy,Requirement - Enemies,Требование: враги,Requisito - inimigos,Requisito - Enemigos,Voraussetzung – Feinde,Condition : ennemis,Requisito - Nemici,Wymaganie – wrogowie,要求 - 敌人数量,必須 - 敵,조건 - 적,,,,,,,,,,,,,
actiondesc_if_enemy,The next spell is skipped if there are less than 15 enemies nearby,"Если поблизости меньше 15 врагов, следующее заклинание пропускается",Ignora o próximo feitiço se houver menos de 15 inimigos nas proximidades,El siguiente hechizo se omite si hay menos de 15 enemigos cerca,"Der nächste Zauber wird übersprungen, wenn weniger als 15 Feinde in der Nähe sind",Le prochain sort est ignoré s'il y a moins de 15 ennemis à proximité.,Il prossimo incantesimo salta se ci sono meno di 15 nemici nelle vicinanze,"Następne zaklęcie zostaje pominięte, jeśli w pobliżu jest mniej niż 15 wrogów",如果附近的敌人少于 15 个，则下个法术将被跳过,付近にいる敵が15体以下の場合、次の呪文はスキップされる,근처에 적이 15명 이하일 경우 다음 주문을 건너뜁니다.,,,,,,,,,,,,,
action_if_projectile,Requirement - Projectile Spells,Требование: снарядные заклинания,Requisito - feitiços de projétil,Requisito - Hechizos de proyectil,Voraussetzung – Projektilzauber,Condition : sorts de projectile,Requisito - Incantesimi proiettile,Wymaganie – zaklęcia pociskowe,要求 - 投射物法术数量,必須 - 放射物の呪文,조건 - 발사체 주문,,,,,,,,,,,,,
actiondesc_if_projectile,The next spell is skipped if there are less than 20 projectiles nearby,"Если поблизости меньше 20 снарядов, следующее заклинание пропускается",Ignora o próximo feitiço se houver menos de 20 projéteis nas proximidades,El siguiente hechizo se omite si hay menos de 20 proyectiles cerca,"Der nächste Zauber wird übersprungen, wenn weniger als 20 Projektile in der Nähe sind",Le prochain sort est ignoré s'il y a moins de 20 projectiles à proximité,Il prossimo incantesimo salta se ci sono meno di 20 proiettili nelle vicinanze,"Następne zaklęcie zostaje pominięte, jeśli w pobliżu jest mniej niż 20 pocisków",如果附近的投射物少于 20 个，则下个法术将被跳过,付近の放射物が20個以下の場合、次の呪文はスキップされる,근처에 발사체가 20개 이하일 경우 다음 주문을 건너뜁니다.,,,,,,,,,,,,,
action_if_hp,Requirement - Low Health,Требование: низкие ОЗ,Requisito - pouca vida,Requisito - Salud baja,Voraussetzung – Niedrige Gesundheit,Condition : peu de PV,Requisito - Salute bassa,Wymaganie – niskie zdrowie,要求 - 生命值低下,必須 - 低いHP,조건 - 낮은 체력,,,,,,,,,,,,,
actiondesc_if_hp,The next spell is skipped if you have more than 25% health left,"Если осталось меньше 25% ОЗ, следующее заклинание пропускается",Ignora o próximo feitiço se você estiver com mais de 25% de vida,El siguiente hechizo se omite si te queda más del 25 % de salud,"Der nächste Zauber wird übersprungen, wenn du mehr als 25 % deiner LP übrig hast",Le prochain sort est ignoré s'il vous reste moins de 25 % de PV,Il prossimo incantesimo salta se hai meno del 25% di salute,"Następne zaklęcie zostaje pominięte, jeśli masz więcej niż 25% zdrowia",如果剩余的生命值超过 25%，则下个法术将被跳过,残りのHPが25%以上の場合、次の呪文はスキップされる,남은 체력이 25% 이하일 경우 다음 주문을 건너뜁니다.,,,,,,,,,,,,,
action_if_end,Requirement - Endpoint,Требование: конечная точка,Requisito - ponto final,Requisito - Punto final,Voraussetzung – Endpunkt,Condition : final,Requisito - Fine,Wymaganie – punkt końcowy,要求 - 终点,必須 - エンドポイント,조건 - 종점,,,,,,,,,,,,,
actiondesc_if_end,Any Requirement spells before this will skip all spells between them and this spell,Заклинания с требованиями до этого будут пропускать все заклинания между собой и этим заклинанием,Os feitiços necessários antes deste pularão os feitiços entre eles e este feitiço,Se omitirán todos los hechizos entre este hechizo y cualquier hechizo anterior a este que tenga un requisito,Hiervor gewirkte Voraussetzungszauber überspringen alle Zauber zwischen ihnen und diesem Zauber,Tout sort à condition précédent ignore tous les sorts entre lui et ce sort,Ogni incantesimo con Requisito prima di questo fa saltare qualsiasi altro incantesimo compreso tra di essi e quest'ultimo,Wszelkie zaklęcia z wymaganiem przed tym pominą wszystkie zaklęcia między sobą a tym zaklęciem,在此之前的任何要求将会跳过自身至该法术之间的所有法术,これ以前のすべての必須呪文が、それらの呪文とこの呪文の間でかけられる全呪文をスキップする,이 전의 모든 조건 주문이 해당 주문과 이 주문 사이의 모든 주문을 건너뜁니다.,,,,,,,,,,,,,
action_if_half,Requirement - Every Other,Требование: каждое второе,Requisito - cada segunda vez,Requisito - Cada dos,Voraussetzung – Jedes zweite Mal,Condition : une fois sur deux,Requisito - Una volta sì e una no,Wymaganie – co drugi,要求 - 每次,必須 - 一回おき,조건 - 매번,,,,,,,,,,,,,
